artist_name,track_name,release_date,genre,lyrics
"Fear, and Loathing in Las Vegas",Return to Zero,2017,Screamo,"I’m not one of them, no I ain’t I’m not one of them, no I ain’t I was totally wrong yeah Stop thinking I’m right, yes I am Stop thinking I’m right, yes I am Think over As if you are possessed by something I thought I had it, but I was wrong man I’m stuck in the middle of nowhere So I was wrong man A person that can’t think and do I’m not one of them, no I ain’t I’m not one of them, no I ain’t I was totally wrong yeah Stop thinking I’m right, yes I am Stop thinking I’m right, yes I am Think again carefully As if you are haunted I thought (I thought) I could do it Is it too late now Ah Reality tells that myself now can not do anything I can’t do anything Ah But I wanna get off to a start Just gotta take yourself in and move on I want to make a start It isn’t easy to take in yourself that can not do anything Have faith to make the right decision, you moron! Ah Now is the start line Take in your shitty self along with your tears on your face There are visions you can see once you begin a new start There are things you can do once you start new Get down to zero, right now Accept your inability Take down your past self Do you have the guts? Get down to zero, right now Accept your inability Take down your past self Do you have the guts to restart again?"
Saosin,3rd Measurement in C,2003,Screamo,"Taking back, overdone Free and safely Souvenirs, out of style Right in front and right on Do it so, I'll be mad, you'll be gone [Chorus] And I'm sad that you'll be gold upon Gold in my veins Tango with daddy and separate only Smile my only rights of passage [Verse 2] Only you, mark my words Upon the stage you strike off To get engaged in California [Chorus] And I'm sad that you'll be gold upon Gold in my veins Tango with daddy and separate only Smile my only rights of passage [Outro] Don't say I'm the one you want to lose Don't say I'm the one you want to lose (I want to know) Don't say that I'm the one you want to lose Don't say that I'm the one you want to lose Don't say that I'm the one you want to lose Don't say that I'm the one you want to lose"
Siamese,Chemistry,2024,Screamo,"Maybe this chemistry is playing its tricks inside of me And maybe it’s changing me [Verse 1] Take me over, pull me closer Grab a hold of me before you leave me in the cold, yeah Take it slower, drag me lower Like an entity misguiding me away from closure A siren's call into compulsion [Chorus] Maybe this chemistry is playing its tricks inside of me And maybe it’s changing me [Verse 2] Sinking deeper into the ether In the ocean of your eyes, oncе a fearless dreamеr Caught in a fever, you’re a mind creeper You finally made a pessimist out of a believer A siren's call into compulsion [Chorus] Maybe this chemistry is playing its tricks inside of me And maybe it’s changing me [Bridge] I feel the rage in me I feel it changing me I feel the rage in me Now I feel the change deranging me [Chorus] Maybe this chemistry is playing its tricks inside of me And maybe it’s changing me Maybe this chemistry is playing its tricks inside of me And maybe it’s changing me [Outro] I feel the change deranging me I feel the change deranging me"
Fame on Fire,Spiral (Justice),2024,Screamo,Send me into a spiral! [Verse 1] I did my best to avoid any bad blood with you Didn't last Turns out the rumors I heard were true [Pre-Chorus] You dug a hole to bury me You dragged me through the mud And all the things I did for you were not enough [Chorus] You're the poison inside my veins Memories I can't erase You just keep pulling me under (Under) You're the sickness inside of me Toxic insanity Sending me into a spiral (Spiral!) [Verse 2] You fooled me once! That's the shame on me! That's price I'll pay to get away! 'Cause I'm done holding back my tongue! I'll never be at peace 'til your time has come! [Pre-Chorus] You dug a hole to bury me You dragged me through the mud And all the things I did for you were not enough! [Chorus] You're the poison inside my veins Memories I can't erase You just keep pulling me under (Under) You're the sickness inside of me Toxic insanity Sending me into a spiral (Spiral!) [Breakdown] My turn to drag you down! Blegh! It's never enough! It's never enough! [Chorus] You're the poison inside my veins Memories I can't erase You just keep pulling me under (Under) You're the sickness inside of me Toxic insanity Sending me into a spiral (Spiral!)
The Early November,I Want To Hear You Sad,2002,Screamo,"These eyes They're strongly covered in disguise They're waiting on the real time again You'll see That no one knows for sure [Chorus] For all of this I'm better off without you Do you regret all your loneliness? [Verse 2] This ride Is drifting slowly to the side We're swerving off the road Going past the cones That warned us from the start [Chorus] For all of this I'm better off without you Do you regret all your loneliness? For all of this I'm better off without you Do you regret all your loneliness? [Bridge] (Every day goes, every night goes) On and on, we sing this song A tired day that's oh so long (Every day goes, every night goes) Every night, we sing this song for you (Every day goes, every night) [Chorus] For all of this I'm better off without you Do you regret all your loneliness? For all of this I'm better off without you Do you regret all your loneliness?"
Funeral For A Friend,Roses for the Dead,2005,Screamo,"Just to say we're sorry For the black eyes and bleeding lips When it's hard to forget How many lies we've told Or how old we'd grow Before I said goodbye So, let's scrape our knees On the playground [Chorus] It's not your fault you feel okay It's too late in the day It's not your fault you feel betrayed You can't come out to play [Post-Chorus] I never listened to a word You never said I never listened to a word You never said [Verse 2] Wasting the hours now We're all suckers for tragedies When start this over again And you bring us to our knees As sunrise comes And the story will sell There'll be a hundred papers So we'll follow you up [Chorus] It's not your fault you feel okay It's too late in the day It's not your fault you feel betrayed You can't come out to play [Post-Chorus] I never listened to a word You never said I never listened to a word You never said [Outro] So raise your hands up high And let this rain pour on So raise your hands up high And wash us away Like innocence and, and childbirth You look just like your mother And you look just like your father Forgive him, our father Your son is smiling So lay roses around you"
Amber Pacific,Always You,2004,Screamo,Inside my heart for you and I I won't forget these tears I cried With every year that passes by And I can't sleep without you And I can't breathe anymore Good times last forever I'll keep my heart with yours For every minute I am gone (I am gone) Swear you'll never leave me I'll be there every time In your heart and in your eyes I'll give it up this time again Some things are better left unsaid And all I have are lasting dreams Our word's worth more this time it seems And I can't sleep without you And I can't breathe anymore Good times last forever I'll keep my heart with yours For every minute I am gone (I am gone) Swear you'll never leave me I'll be there every time In your heart and in your eyes Good times last forever I'll keep my heart with yours For every minute I am gone (I am gone) Swear you'll never leave me I'll be there every time In your heart and in your eyes (In your eyes) Good times last forever I'll keep my heart with yours For every minute I am gone (I am gone) Swear you'll never leave me I'll be there every time In your heart and in your eyes (In your eyes) In your eyes
Silverstein,The End,2009,Screamo,"Shane Told revealed at an acoustic River Oaks show that “The End” was written in 2000. The band tried to put the song on every album but… Read More [Verse 1: Shane Told] The first time we met Your face became etched In my mind You were the sun I was the one Who worshipped you My hands were your guns Your eyes were my muse [Chorus 1: Shane Told] And I knew you could never love me I had so much sorrow inside You could never reach But can I still keep A place in your heart? [Verse 2: Lights] You broke my heart You promised me the moon and stars I fell for your dreams I fell for your lies There was no other way You know I tried [Chorus 1: Shane Told & Lights] And I knew you could never love me I had so much sorrow inside You could never reach But can I still keep A place in your heart? [Verse 3: Shane Told] There is something I want you to know I think you know exactly what it is I didn't want to save you I didn't want to save you I set our house on fire To watch it burn But I couldn't just leave you there [Chorus 1: Shane Told & Lights] And I knew you could never love me I had so much sorrow inside You could never reach But I'll ask you this Will you still miss me? (Yes I'll miss you) Do you love me? (Yes I love you) [Chorus 2: Shane Told & Lights] Planes fill the sky We'll both die tonight We'll both die tonight Hands from the sky Swat us away like flies (We'll both die tonight) As we follow the light (As we follow the light) We'll both die tonight We'll both die tonight [Chorus 2: Shane Told & Lights] Planes fill the sky We'll both die tonight We'll both die tonight Hands from the sky Swat us away like flies (We'll both die tonight) As we follow the light (As we follow the light) We'll both die tonight We'll both die tonight Swat us away like flies We'll both die tonight (both die tonight) As we follow the light (follow the light) [Outro: Shane Told] This union, a battle fought and lost This union was not about the cause This union was never about love"
Hands Like Houses,Overthinking,2018,Screamo,"I could have just held my tongue I should have just filled my lungs Breathe in, breathe out and repeat But you know me well, or at least in as far as I can tell You should have known better than telling me I should have Held it together for us, when I’m barely together myself I’m barely together myself [Chorus] I’m overthinking, everything I say and I do Just reminds me I don’t need you 'Cause there’s nothing left for me to hang on to [Verse 2] Well, if you'd just kept your word And listened instead of just heard Instead of just waiting for your turn to speak Then you’d know I was weak, but you don’t No wonder reality hurts No wonder reality hurts [Chorus] I’m overthinking, everything I say and I do Just reminds me I don’t need you 'Cause there’s nothing left for me to hang on to I’m overthinking and I’m done with feeling empty And pretending like you get me I’m overthinking, but I think I’m through [Bridge] I’m beating myself black and blue I’m beating myself black and blue I’m beating myself black and blue (I’m beating myself black and blue) [Chorus] I’m overthinking, everything I say and I do Just reminds me I don’t need you 'Cause there’s nothing left for me to hang on to I’m overthinking and I’m done with feeling empty And pretending like you get me, I’m overthinking If I’m through, then I’m beating myself black and blue But it won’t make no difference to you [Outro] I’m beating myself black and blue I’m beating myself black and blue I’m beating myself black and blue It won't make no difference to you"
A Day To Remember,Looks Like Hell,2021,Screamo,"Yeah, that's why I can't tell you things What's been weighing on me lately Somethin' about this changed Was it me? Was it you? (Was it me? Was it you?) You know I can't say We're headed two different ways The silence, it tells me things Like the truth (The truth, the truth) [Pre-Chorus] We rode a wave up and down Throwing me all around Thinking we'd hit the ground Well, you will [Chorus] On our way to nowhere fast off the overpass Looks like hell Making big mistakes led us to a place Looks like hell If I'm bеing honest, you're safe in thе moment But lost in the open, I know you too well The only way out is through ourselves And it looks like hell [Verse 2] How did it get this way? On the surface, it seems okay But there's energy underneath That I feel (That I feel, that I feel) Remember when we last spoke Your eyes said what you don't That whatever in this broke We can't fix [Pre-Chorus] Either under or over it Something I'll never get Where was the disconnect We couldn't weld? [Chorus] On our way to nowhere fast off the overpass Looks like hell Making big mistakes led us to a place Looks like hell If I'm being honest, you're safe in the moment But lost in the open, I know you too well The only way out is through ourselves And it looks like hell [Bridge] The destination I saw clearly Was farther than you planned Just a means to an end [Chorus] On our way to nowhere fast off the overpass Looks like hell (Looks like hell, looks like hell) Making big mistakes led us to a place Looks like hell (Looks like hell, looks like hell) If I'm being honest, you're safe in the moment But lost in the open, I know you too well The only way out is through ourselves And it looks like hell [Outro] It looks like hell"
Young Medicine,Winter Soldier,2024,Screamo,"With every step I hear you calling out Are we falling out? You said I'm with you 'til the end of the line But would you scream my name blood soaked outside in the pouring rain? I'll make you pay for this mess you've made I'll make you pay for this mess you've made [Verse] If you saw me in a dream, would you pass me by? Would you even know it's me after all this time? After every promise made, every single lie You have to settle this with me [Pre-Chorus] Thought we knew one another, so what's left to say? (I'll make you pay for this mess you've made) Thought we could hold one another, there's no other way (I'll make you pay for this mess you've made) [Chorus] With every step I hear you calling out Are we falling out? You said I'm with you 'til the end of the line But would you scream my name blood soaked outside in the pouring rain? I'll make you pay for this mess you've made [Pre-Chorus] Thought we knew one another, so what's left to say? (I'll make you pay for this mess you've made) Thought we kill one another, there's no other way (I'll make you pay for this mess you've made) [Bridge] With every step I hear you calling out (Are we falling out?) [Chorus] With every step I hear you calling out Are we falling out? You said I'm with you 'til the end of the line But would you scream my name blood soaked outside in the pouring rain I'll make you pay for this mess you've made [Outro] (It's all we ever dream, it's all we ever) With every step I hear you calling out Are we falling out? You said I'm with you 'til the end of the line But would you scream my name blood soaked outside in the pouring rain I'll make you pay for this mess you've made"
Saosin,Translating the Name,2003,Screamo,"Oh, start saving green and before breathing I have your voice on tape in a southern accent screaming at me I was only one and we weren't prepared for one before dreaming I have your voice on tape in a southern accent screaming at me [Chorus] Now things look lovely to you (Holding back, now and forever) Sweetheart, things look lovely (Longing for midnight and I deny) You were walking so peculiar like (Still so deadly) You had something to hide You were walking so peculiar like (Still so deadly) You had something to hide [Interlude] Sweet penance for a sound It might explode in our hands [Verse] I'm bordered in a brown pigmentation of Where the element lines cut short, turned in, then stopped I've been watching Rose give in and I missed out on savoring sound I've been watching Rose give in to it Severing the ties between mother and son I've been watching Rose give in to it Severing the ties between mother and son [Chorus] Now things look lovely to you (Holding back, now and forever) Sweetheart, things look lovely (Longing for midnight and I deny) You were walking so peculiar like (Still so deadly) You had something to hide, love You were walking so peculiar like (Still so deadly) You had something to hide [Interlude] Sweet penance for a sound It might explode in our hands It might explode Sweet penance for a sound It might explode in our hands It might explode [Outro] Oh, why would so many place the oath? I promised the world and a dozen roses Oh, why would so many place the oath? I promised the world and a dozen roses"
A Day To Remember,You Had Me @ Hello,2008,Screamo,"… Read More [Verse 1] I'm missing you so much, I'll say you died tonight Just so I can get to you before the sun will rise I know these times are hard, and I feel this too None of that ever seems to matter when I'm holding you [Pre-Chorus] And I'm wasting away, away from you And I'm wasting away, away from you [Chorus] What have I gotten into This time around? I know that I had sworn I'd never trust anyone again But I didn't have to, you had me at hello [Verse 2] I've never seen a smile that can light the room like yours It's simply radiant, I see it more with every day that goes by I watch the clock to make my timing just right Would it be okay? Would it be okay if I took your breath away? [Pre-Chorus] And I'm wasting away, away from you And I'm wasting away, away from you [Chorus] What have I gotten into This time around? I know that I had sworn I'd never trust anyone again But I didn't have to, you had me at hello [Refrain] You gave me butterflies at the mailbox (You had me at hello) You gave me butterflies at the mailbox (You had me at hello) You gave me butterflies at the mailbox (You had me at hello) You gave me butterflies at the mailbox (You had me at hello) You gave me butterflies at the mailbox (You are so cute, you had me at hello) You gave me butterflies at the mailbox (You are so cute, you had me at hello) You gave me butterflies at the mailbox (You are so cute, you had me at hello) You gave me butterflies at the mailbox (You are so cute, you had me at hello) [Chorus] What have I gotten into This time around? I know that I had sworn I'd never trust anyone again But I didn't have to, you had me at hello [Outro] You had me at hello You had me at hello"
Pierce The Veil,Resilience,2023,Screamo,"""Man, you guys are kings of the school You get away with whatever you want What are you bitching about?"" ""Well, all I'm saying is that if I ever start referring to these As the best years of my life Remind me to kill myself"" [Verse 1] When the wildfire is over And everything is gone Incinerate my tires While we race into the wide open [Pre-Chorus] See, I don't really wanna think about it Or how it all went wrong Houston, there's a problem Someone sucked out all the sun [Chorus] But I'm, I'm better tonight Don't waste that hand Non-operational for anything else You're jealous of my resilience [Verse 2] When the royal crown is gone And everything is ours Regenerate that kind of power Reserved for the Marvel Gods [Pre-Chorus] See, I've been coming to the realization That all you do is shine Black lights to my problems Swallow dirt, you rotten swine [Chorus] But I'm better tonight Don't waste that hand Non-operational for anything else You're jealous of my resilience [Bridge] And it's odd that I've Been running into spider webs at night And it's odd that I Keep running into spider webs Running into spider webs At night [Chorus] I'm better tonight Don't waste that hand Non-operational for anything else Jealous of my resilience [Outro] My resilience My resilience"
